RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024
394913,1,"New York, NY",msa,NY,0.327478844,0.312960807,0.367212635,0.423157555,0.479094301,0.537092304,0.553784861,0.540663139,0.530563641,0.507546652,0.500915751,0.480851064,0.452059723,0.42061812,0.465708568,0.512776566,0.538471453,0.570397112,0.568375136,0.549956934,0.514486163
753899,2,"Los Angeles, CA",msa,CA,0.280365566,0.347767976,0.417315536,0.482822086,0.540701635,0.566263034,0.581681205,0.572507022,0.533107679,0.513336156,0.485680191,0.444583125,0.408446712,0.490479817,0.526892632,0.556146789,0.567146283,0.551836892,0.522703818,0.480925468,0.458359038
394463,3,"Chicago, IL",msa,IL,0.241673783,0.280123584,0.364853415,0.444156741,0.494499214,0.522654754,0.503591739,0.472390905,0.443069721,0.404707536,0.360702614,0.319303338,0.309065934,0.348549811,0.413398386,0.484100617,0.504600142,0.519820602,0.493154512,0.43722755,0.381600797
394514,4,"Dallas, TX",msa,TX,0.161995688,0.208511548,0.280479568,0.347256637,0.370025766,0.359617336,0.328792158,0.277438043,0.239692805,0.230025773,0.206372194,0.183078394,0.169017981,0.216833406,0.249356381,0.271137494,0.272218017,0.236289083,0.209711585,0.177148847,0.17280395
394692,5,"Houston, TX",msa,TX,0.139240506,0.161839431,0.198428291,0.240148699,0.255988943,0.262184874,,,0.173294869,0.173574536,0.155176933,0.135917175,0.134079903,0.14422834,0.171267252,0.195161877,0.203461022,0.192015209,0.177500466,0.154000401,0.146911155
395209,6,"Washington, DC",msa,VA,0.253772291,0.359244265,0.456530869,0.524457073,0.563671939,0.550786838,0.526014978,0.492800921,0.456202652,0.441023094,0.384678077,0.336471303,0.332120771,0.46004254,0.534311288,0.576084822,0.581690382,0.54356235,0.481440647,0.436544191,0.405481377
394974,7,"Philadelphia, PA",msa,PA,0.287012987,0.324429967,0.390909091,0.45625,0.485146486,0.518958588,0.522823331,0.504354558,0.47398579,0.451534929,0.435141215,0.366735008,0.351305527,0.368866328,0.428455942,0.477351115,0.5124439,0.520674113,0.493142857,0.454527826,0.420737327
394856,8,"Miami, FL",msa,FL,0.107203493,0.1222489,0.132616487,0.14852851,0.15782984,0.176768387,0.186545392,0.176721415,0.183020554,0.1582535,0.137668552,0.118540392,0.096915167,0.107701941,0.105080831,0.104191263,0.108733624,0.111168474,0.104231703,0.101700985,0.093139383
394347,9,"Atlanta, GA",msa,GA,0.179127251,0.222700498,0.282482993,0.346046512,0.37862522,0.383835079,0.361779305,0.329635499,0.287627551,0.287267784,0.248356095,0.220918367,0.211096939,0.237552638,0.290522941,0.30223677,0.306806971,0.288591904,0.263898663,0.218273131,0.211840071
394404,10,"Boston, MA",msa,MA,0.367716535,0.41938326,0.490310078,0.587291399,0.659448819,0.667934971,0.645851155,0.614543926,0.58315565,0.566422594,0.535353535,0.504587156,0.443993506,0.494296578,0.554339898,0.607358594,0.65752286,0.643611212,0.603254973,0.520061139,0.485714286
